"index","word","negative","positive","sentiment"
2023-05-15,"top",0,1,1
2023-05-15,"wins",0,1,1
2023-07-19,"fall",1,0,-1
2023-07-27,"complaints",1,0,-1
2023-07-27,"suppress",1,0,-1
2023-08-08,"benefit",0,1,1
2023-08-10,"hopeful",0,1,1
2023-08-21,"comprehensive",0,1,1
2023-09-01,"qualify",0,1,1
2023-09-01,"strong",0,1,1
2023-09-11,"comprehensive",0,1,1
2023-09-11,"right",0,1,1
2023-09-14,"gain",0,1,1
2023-09-14,"losing",1,0,-1
2023-10-02,"pretty",0,1,1
2023-10-02,"strong",0,1,1
2023-10-02,"wrong",1,0,-1
2023-10-05,"crisis",1,0,-1
2023-10-09,"rival",2,0,-2
2023-10-18,"wrought",1,0,-1
2023-10-19,"miss",1,0,-1
2023-10-19,"unsure",1,0,-1
2023-10-19,"worth",0,1,1
2023-10-26,"drastic",1,0,-1
2023-10-26,"losses",1,0,-1
2023-10-27,"crack",1,0,-1
2023-11-08,"fast",0,1,1
2023-11-08,"lucid",0,1,1
2023-11-08,"pretty",0,1,1
2023-11-08,"strong",0,1,1
2023-11-08,"wrong",1,0,-1
2023-11-16,"controversial",1,0,-1
2023-11-16,"fallout",1,0,-1
2023-11-26,"favorite",0,1,1
2023-12-07,"blow",1,0,-1
2023-12-07,"dumps",1,0,-1
2023-12-07,"showdown",1,0,-1
2023-12-14,"angry",1,0,-1
2023-12-14,"bad",1,0,-1
2023-12-14,"dispute",1,0,-1
2023-12-15,"leads",0,1,1
2023-12-30,"convincing",0,1,1
2023-12-30,"fans",0,1,1
2023-12-30,"won",0,1,1
2024-01-02,"losing",1,0,-1
2024-02-01,"hazardous",1,0,-1
2024-02-01,"improper",1,0,-1
2024-02-01,"loses",1,0,-1
2024-02-01,"loss",1,0,-1
2024-02-01,"luster",0,1,1
2024-02-01,"overtakes",0,1,1
2024-02-01,"prefer",0,1,1
2024-02-01,"right",0,1,1
2024-02-01,"threatening",1,0,-1
2024-02-01,"waste",1,0,-1
2024-02-03,"worth",0,1,1
2024-02-10,"rival",2,0,-2
2024-02-10,"strong",0,1,1
2024-02-17,"fears",1,0,-1
2024-02-24,"break",1,0,-1
2024-02-28,"gains",0,1,1
2024-02-29,"accuse",1,0,-1
2024-02-29,"racism",1,0,-1
2024-02-29,"sue",1,0,-1
2024-03-01,"protest",1,0,-1
2024-03-01,"secure",0,1,1
2024-03-01,"sues",1,0,-1
2024-03-01,"surpass",0,1,1
2024-03-01,"thwart",1,0,-1
