"index","word","negative","positive","sentiment"
2023-04-03,"clash",1,0,-1
2023-04-10,"fall",1,0,-1
2023-04-17,"savings",0,1,1
2023-04-25,"damages",1,0,-1
2023-05-04,"worst",1,0,-1
2023-06-26,"biting",1,0,-1
2023-07-07,"denied",1,0,-1
2023-07-07,"error",1,0,-1
2023-07-31,"good",0,1,1
2023-08-04,"astonishing",0,1,1
2023-08-04,"fall",1,0,-1
2023-08-04,"loses",1,0,-1
2023-08-04,"stuck",1,0,-1
2023-09-01,"fast",0,1,1
2023-09-01,"mystery",1,0,-1
2023-09-07,"tumbles",1,0,-1
2023-09-08,"hurting",1,0,-1
2023-09-08,"top",0,1,1
2023-09-08,"warning",1,0,-1
2023-09-19,"valuable",0,1,1
2023-09-20,"decline",1,0,-1
2023-09-25,"cheapest",0,1,1
2023-09-25,"winning",0,1,1
2023-09-28,"supreme",0,1,1
2023-10-02,"safe",0,1,1
2023-10-02,"slump",1,0,-1
2023-10-04,"like",0,1,1
2023-10-05,"rejected",1,0,-1
2023-10-09,"smart",0,1,1
2023-10-11,"bad",1,0,-1
2023-10-11,"decry",1,0,-1
2023-10-11,"top",0,1,1
2023-10-11,"worst",1,0,-1
2023-10-17,"disappointing",1,0,-1
2023-10-17,"honor",0,1,1
2023-10-17,"support",0,1,1
2023-10-31,"violate",1,0,-1
2023-11-01,"loses",1,0,-1
2023-11-03,"ease",0,1,1
2023-11-03,"fears",1,0,-1
2023-11-03,"tougher",0,1,1
2023-11-03,"weak",1,0,-1
2023-11-05,"decline",1,0,-1
2023-11-08,"risk",1,0,-1
2023-11-08,"support",0,1,1
2023-11-11,"top",0,1,1
2023-11-14,"concerns",1,0,-1
2023-11-14,"resilient",0,1,1
2023-12-10,"ax",1,0,-1
2023-12-10,"falls",1,0,-1
2023-12-10,"refused",1,0,-1
2023-12-10,"shake",1,0,-1
2023-12-10,"work",0,1,1
2023-12-19,"dispute",1,0,-1
2023-12-19,"fall",1,0,-1
2023-12-19,"loses",1,0,-1
2023-12-26,"tough",0,1,1
2024-01-04,"downgrade",1,0,-1
2024-01-04,"worries",1,0,-1
2024-01-05,"downgrade",1,0,-1
2024-01-05,"worries",1,0,-1
2024-01-06,"sour",1,0,-1
2024-01-08,"cracked",1,0,-1
2024-01-08,"expensive",2,0,-2
2024-01-08,"fall",1,0,-1
2024-01-08,"magnificent",0,2,2
